"SAMPLEID","LAT","LONG","INDEX_REGION","INDEX_NAME","ni_total","nt_CruMol","pi_ffg_pred","pi_ffg_shred","pi_habit_cling","pi_CruMol","nt_tv_toler","pt_NonIns","pi_habit_climb","pi_EPT","pi_EPTNoBaeHydro","pi_tv_toler","nt_EPT","pi_Cru","pt_tv_intol","nt_NonIns","pi_ffg_scrap","pi_IsopGastHiru","pi_NonIns","pi_Pleco","pt_tv_toler","pi_ffg_col","pi_habit_sprawl","nt_Trich","nt_habit_cling","pi_tv_intol"
"350249-7/13/11",44.41548,-83.86565,"VERYNARROW","MIEGLE_2020",268,7,12.6865671641791,47.3880597014925,4.1044776119403,50.7462686567164,4,40.7407407407407,3.73134328358209,5.59701492537313,4.47761194029851,45.5223880597015,7,45.1492537313433,14.8148148148148,11,1.86567164179104,45.5223880597015,59.3283582089552,0,14.8148148148148,33.5820895522388,8.2089552238806,4,6,1.86567164179104
"350250-7/14/11",44.27702,-83.86609,"WETWIDE","MIEGLE_2020",253,5,11.4624505928854,3.16205533596838,62.0553359683794,20.9486166007905,1,22.5806451612903,1.58102766798419,37.1541501976285,19.7628458498024,1.97628458498024,12,3.16205533596838,29.0322580645161,7,33.596837944664,18.1818181818182,23.7154150197628,1.18577075098814,3.2258064516129,40.7114624505929,7.5098814229249,7,16,30.4347826086957
"350251-7/13/11",44.34266,-83.63599,"VERYNARROW","MIEGLE_2020",248,3,1.61290322580645,0.403225806451613,89.9193548387097,2.01612903225806,0,35.7142857142857,0.806451612903226,88.3064516129032,2.82258064516129,0,3,0.403225806451613,21.4285714285714,5,0.403225806451613,0.403225806451613,2.82258064516129,0,0,8.46774193548387,0.403225806451613,2,5,88.3064516129032
"350252-7/13/11",44.30109,-83.59643,"NARROW","MIEGLE_2020",243,3,2.88065843621399,26.7489711934156,19.3415637860082,16.4609053497942,1,21.0526315789474,4.52674897119342,28.8065843621399,22.6337448559671,1.23456790123457,8,16.0493827160494,42.1052631578947,4,3.29218106995885,1.64609053497942,16.8724279835391,5.34979423868313,5.26315789473684,54.320987654321,8.23045267489712,5,6,25.9259259259259
"350253-7/14/11",44.24618,-83.80309,"VERYNARROW","MIEGLE_2020",268,4,9.70149253731343,1.11940298507463,55.2238805970149,3.73134328358209,2,17.2413793103448,6.71641791044776,32.8358208955224,19.7761194029851,1.86567164179104,10,1.11940298507463,31.0344827586207,5,17.5373134328358,1.86567164179104,4.47761194029851,0,6.89655172413793,54.4776119402985,2.98507462686567,7,13,33.2089552238806
"350254-7/22/14",44.3167,-83.71928,"NARROW","MIEGLE_2020",322,6,7.45341614906832,10.5590062111801,48.4472049689441,10.8695652173913,2,20.9302325581395,5.27950310559006,42.5465838509317,36.0248447204969,0.62111801242236,20,7.14285714285714,37.2093023255814,9,7.45341614906832,1.24223602484472,14.5962732919255,2.17391304347826,4.65116279069767,40.9937888198758,10.5590062111801,10,19,26.3975155279503
"360005-6/12/12",46.01522,-88.5671,"WETWIDE","MIEGLE_2020",357,6,7.28291316526611,5.60224089635854,44.2577030812325,9.2436974789916,2,22.2222222222222,2.52100840336134,40.3361344537815,26.0504201680672,4.48179271708683,16,3.36134453781513,30.5555555555556,8,13.1652661064426,3.0812324929972,13.1652661064426,0.560224089635854,5.55555555555556,56.5826330532213,2.52100840336134,10,19,25.2100840336134
"360006-6/12/12",45.98763,-88.65218,"MIDSIZEDRY","MIEGLE_2020",310,5,9.03225806451613,4.51612903225806,39.6774193548387,7.41935483870968,1,19.4444444444444,1.29032258064516,41.6129032258064,36.1290322580645,5.80645161290323,15,3.2258064516129,33.3333333333333,7,17.4193548387097,0.967741935483871,12.9032258064516,0.967741935483871,2.77777777777778,42.258064516129,4.83870967741935,9,18,38.7096774193548
"360063-6/12/12",46.06686748,-88.627677,"MIDSIZEDRY","MIEGLE_2020",386,2,4.40414507772021,42.2279792746114,40.1554404145078,41.1917098445596,0,22.2222222222222,0.518134715025907,38.0829015544041,27.979274611399,0,6,41.1917098445596,16.6666666666667,4,0.259067357512953,0,43.7823834196891,0,0,21.5025906735751,1.55440414507772,5,9,31.3471502590674
"360124-6/13/12",46.22952,-88.70103,"MIDSIZEDRY","MIEGLE_2020",345,4,10.4347826086957,6.3768115942029,61.7391304347826,8.69565217391304,1,15.7894736842105,0.579710144927536,60.2898550724638,51.5942028985507,7.2463768115942,20,7.82608695652174,39.4736842105263,6,24.3478260869565,0.869565217391304,12.1739130434783,4.63768115942029,2.63157894736842,54.2028985507246,4.05797101449275,9,17,48.9855072463768
